L,scheme,dtype,interp,boundary_mode,oob_policy,value_repr,batch_size,threads_torch,threads_numba,float_accuracy_mean,float_f1_mean,float_roc_auc_mean,float_pr_auc_mean,lut_numpy_accuracy_mean,lut_numpy_f1_mean,lut_numpy_roc_auc_mean,lut_numpy_pr_auc_mean,lut_numba_accuracy_mean,lut_numba_f1_mean,lut_numba_roc_auc_mean,lut_numba_pr_auc_mean,float_accuracy_std,float_f1_std,float_roc_auc_std,float_pr_auc_std,lut_numpy_accuracy_std,lut_numpy_f1_std,lut_numpy_roc_auc_std,lut_numpy_pr_auc_std,lut_numba_accuracy_std,lut_numba_f1_std,lut_numba_roc_auc_std,lut_numba_pr_auc_std
16,asymmetric,uint8,linear,closed,clip_x,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9896029427674996,0.9896701099633456,0.999085922591853,0.9990319009255246,0.9896029427674996,0.9896701099633456,0.999085922591853,0.9990319007042305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,asymmetric,uint8,linear,closed,clip_x,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9896029427674996,0.9896701099633456,0.999085922591853,0.9990319009255246,0.9896029427674996,0.9896701099633456,0.999085922591853,0.9990319007042305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,asymmetric,uint8,linear,closed,zero_spline,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9896029427674996,0.9896701099633456,0.9990859366379399,0.9990319135157615,0.9896029427674996,0.9896701099633456,0.9990859366379399,0.9990319135412872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,asymmetric,uint8,linear,closed,zero_spline,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9896029427674996,0.9896701099633456,0.9990859366379399,0.9990319135157615,0.9896029427674996,0.9896701099633456,0.9990859366379399,0.9990319135412872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,asymmetric,uint8,linear,half_open,clip_x,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9896029427674996,0.9896701099633456,0.999085922591853,0.9990319009255246,0.9896029427674996,0.9896701099633456,0.999085922591853,0.9990319007042305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,asymmetric,uint8,linear,half_open,clip_x,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9896029427674996,0.9896701099633456,0.999085922591853,0.9990319009255246,0.9896029427674996,0.9896701099633456,0.999085922591853,0.9990319007042305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,asymmetric,uint8,linear,half_open,zero_spline,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9896029427674996,0.9896701099633456,0.9990859366379399,0.9990319135157615,0.9896029427674996,0.9896701099633456,0.9990859366379399,0.9990319135412872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,asymmetric,uint8,linear,half_open,zero_spline,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9896029427674996,0.9896701099633456,0.9990859366379399,0.9990319135157615,0.9896029427674996,0.9896701099633456,0.9990859366379399,0.9990319135412872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,symmetric,int8,linear,closed,clip_x,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9896029427674996,0.9896701099633456,0.9990867279008151,0.9990328672540946,0.9896029427674996,0.9896701099633456,0.9990867279008151,0.9990328668762254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,symmetric,int8,linear,closed,clip_x,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9896029427674996,0.9896701099633456,0.9990867279008151,0.9990328672540946,0.9896029427674996,0.9896701099633456,0.9990867279008151,0.9990328668762254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,symmetric,int8,linear,closed,zero_spline,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9896029427674996,0.9896701099633456,0.9990867279008151,0.9990328672540946,0.9896029427674996,0.9896701099633456,0.9990867279008151,0.9990328668762254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,symmetric,int8,linear,closed,zero_spline,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9896029427674996,0.9896701099633456,0.9990867279008151,0.9990328672540946,0.9896029427674996,0.9896701099633456,0.9990867279008151,0.9990328668762254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,symmetric,int8,linear,half_open,clip_x,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9896029427674996,0.9896701099633456,0.9990867279008151,0.9990328672540946,0.9896029427674996,0.9896701099633456,0.9990867279008151,0.9990328668762254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,symmetric,int8,linear,half_open,clip_x,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9896029427674996,0.9896701099633456,0.9990867279008151,0.9990328672540946,0.9896029427674996,0.9896701099633456,0.9990867279008151,0.9990328668762254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,symmetric,int8,linear,half_open,zero_spline,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9896029427674996,0.9896701099633456,0.9990867279008151,0.9990328672540946,0.9896029427674996,0.9896701099633456,0.9990867279008151,0.9990328668762254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,symmetric,int8,linear,half_open,zero_spline,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9896029427674996,0.9896701099633456,0.9990867279008151,0.9990328672540946,0.9896029427674996,0.9896701099633456,0.9990867279008151,0.9990328668762254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,asymmetric,uint8,linear,closed,clip_x,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9896894947527859,0.9897527983570068,0.9990972133044205,0.999044011952067,0.9896894947527859,0.9897527983570068,0.9990972133044205,0.9990440119404308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,asymmetric,uint8,linear,closed,clip_x,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9896894947527859,0.9897527983570068,0.9990972133044205,0.999044011952067,0.9896894947527859,0.9897527983570068,0.9990972133044205,0.9990440119404308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
